ingredient_id,id,item,quantity
1,1,鶏もも肉・または鶏ももから揚げ用肉,1枚（250g）
2,1,「丸鶏がらスープ」,小さじ1
3,1,酒,小さじ2
4,1,しょうがのすりおろし,小さじ1
5,1,しょうゆ,小さじ1
6,1,こしょう,少々
7,1,薄力粉,大さじ3
8,1,片栗粉,大さじ1
9,1,「AJINOMOTO サラダ油」,適量
10,2,鶏むね肉,300g
11,2,酒,大さじ1
12,2,薄力粉,大さじ2
13,2,しょうゆ,大さじ1・1/2
14,2,みりん,大さじ1・1/2
15,2,砂糖,大さじ1・1/2
16,2,酢,大さじ1・1/2
17,2,酒,大さじ1/2
18,2,「ほんだし」,小さじ1
19,2,「AJINOMOTO サラダ油」,大さじ1
20,2,キャベツのせん切り,1/4個分（240g）
21,2,「ピュアセレクト マヨネーズ」・好みで,適量
22,3,牛こま切れ肉,150g
23,3,玉ねぎ,1個（200g）
24,3,にんじん,1本（150g）
25,3,じゃがいも,3個（450g）
26,3,水,2カップ
27,3,酒,大さじ2
28,3,「ほんだし」,小さじ1
29,3,砂糖,大さじ1
30,3,みりん,大さじ1
31,3,しょうゆ,大さじ2
32,3,さやいんげん（ゆで）,適量
33,3,「AJINOMOTO サラダ油」,大さじ1
34,4,春雨（乾）,100g
35,4,牛切り落とし肉,150g
36,4,玉ねぎ,1/2個
37,4,にんじん,1/4本
38,4,ピーマン,2個
39,4,ねぎのみじん切り,1本分
40,4,しょうがのすりおろし,小さじ2
41,4,にんにくのすりおろし,小さじ2
42,4,しょうゆ,大さじ4
43,4,砂糖,大さじ3
44,4,すり白ごま,大さじ2
45,4,「AJINOMOTO ごま油好きの純正ごま油」,大さじ1
46,4,「Cook Do」コチュジャン,小さじ2（10g）
47,4,「AJINOMOTO ごま油好きの純正ごま油」,大さじ2
48,5,牛薄切り肉,150g
49,5,砂糖,大さじ1
50,5,木綿豆腐,80g
51,5,しらたき,1袋（200g）
52,5,玉ねぎ,3/4個（150g）
53,5,水,1/4カップ
54,5,酒,大さじ2
55,5,しょうゆ,大さじ1
56,5,みりん,大さじ1
57,5,「ほんだし」,小さじ1
58,5,「AJINOMOTO サラダ油」,小さじ1
59,6,鶏もも肉,2枚
60,6,「瀬戸のほんじお」,少々
61,6,こしょう,少々
62,6,玉ねぎ,1個
63,6,ピーマン,4個
64,6,にんにくのみじん切り,1かけ分
65,6,ホールトマト缶,1缶（400g）
66,6,「味の素KKコンソメ」固形タイプ,1個
67,6,赤ワイン,大さじ2
68,6,水,1/2カップ
69,6,砂糖,小さじ1
70,6,「瀬戸のほんじお」,適量
71,6,こしょう,適量
72,6,「AJINOMOTO オリーブオイル」,大さじ1・1/3
73,7,豚バラ薄切り肉,300g
74,7,白菜,1/2株（1000g）
75,7,「ほんだし」,大さじ2
76,7,水,6カップ
77,7,しょうゆ,大さじ2
78,7,「瀬戸のほんじお」,小さじ1/2
79,7,白髪ねぎ,1本分
80,7,小ねぎの小口切り,3本分
81,7,しょうがのせん切り,1/4かけ分
82,8,うどん,2玉
83,8,水,1カップ
84,8,しょうゆ,大さじ3
85,8,みりん,大さじ1・1/2
86,8,「ほんだし」,小さじ1/2
87,8,温泉卵,2個
88,8,大根,5cm（125g）
89,8,きゅうり,1/2本
90,8,干しわかめ,3g
91,8,いり白ごま,適量
92,8,ねぎの小口切り・好みで,適量
93,8,揚げ玉・好みで,大さじ2
94,9,合いびき肉,200g
95,9,玉ねぎのみじん切り,1個分（200g）
96,9,エリンギ・大,1本（100g）
97,9,トマト,2個（300g）
98,9,水,1・1/2カップ
99,9,「味の素KKコンソメ」顆粒タイプ,小さじ2
100,9,カレールウ,1/2箱
101,9,ご飯,440g
102,9,「AJINOMOTO サラダ油」,大さじ1
103,9,オクラ（ゆで）・好みで,6本
104,10,豚しゃぶしゃぶ用肉,240g
105,10,「お肉やわらかの素」,小さじ1（2.5g）
106,10,レタス,2枚
107,10,貝割れ菜,適量
108,10,ミニトマト,3個
109,10,ねぎのみじん切り,20g
110,10,しょうがのすりおろし,小さじ1/2
111,10,しょうゆ,大さじ3
112,10,酢,大さじ1
113,10,「AJINOMOTO ごま油好きの純正ごま油」,大さじ1
114,10,砂糖,大さじ1/2
115,10,「ほんだし」,小さじ1
116,1,鶏もも肉・または鶏ももから揚げ用肉,1枚（250g）
117,1,「丸鶏がらスープ」,小さじ1
118,1,酒,小さじ2
119,1,しょうがのすりおろし,小さじ1
120,1,しょうゆ,小さじ1
121,1,こしょう,少々
122,1,薄力粉,大さじ3
123,1,片栗粉,大さじ1
124,1,「AJINOMOTO サラダ油」,適量
125,2,鶏むね肉,300g
126,2,酒,大さじ1
127,2,薄力粉,大さじ2
128,2,しょうゆ,大さじ1・1/2
129,2,みりん,大さじ1・1/2
130,2,砂糖,大さじ1・1/2
131,2,酢,大さじ1・1/2
132,2,酒,大さじ1/2
133,2,「ほんだし」,小さじ1
134,2,「AJINOMOTO サラダ油」,大さじ1
135,2,キャベツのせん切り,1/4個分（240g）
136,2,「ピュアセレクト マヨネーズ」・好みで,適量
137,3,牛こま切れ肉,150g
138,3,玉ねぎ,1個（200g）
139,3,にんじん,1本（150g）
140,3,じゃがいも,3個（450g）
141,3,水,2カップ
142,3,酒,大さじ2
143,3,「ほんだし」,小さじ1
144,3,砂糖,大さじ1
145,3,みりん,大さじ1
146,3,しょうゆ,大さじ2
147,3,さやいんげん（ゆで）,適量
148,3,「AJINOMOTO サラダ油」,大さじ1
149,4,春雨（乾）,100g
150,4,牛切り落とし肉,150g
151,4,玉ねぎ,1/2個
152,4,にんじん,1/4本
153,4,ピーマン,2個
154,4,ねぎのみじん切り,1本分
155,4,しょうがのすりおろし,小さじ2
156,4,にんにくのすりおろし,小さじ2
157,4,しょうゆ,大さじ4
158,4,砂糖,大さじ3
159,4,すり白ごま,大さじ2
160,4,「AJINOMOTO ごま油好きの純正ごま油」,大さじ1
161,4,「Cook Do」コチュジャン,小さじ2（10g）
162,4,「AJINOMOTO ごま油好きの純正ごま油」,大さじ2
163,5,牛薄切り肉,150g
164,5,砂糖,大さじ1
165,5,木綿豆腐,80g
166,5,しらたき,1袋（200g）
167,5,玉ねぎ,3/4個（150g）
168,5,水,1/4カップ
169,5,酒,大さじ2
170,5,しょうゆ,大さじ1
171,5,みりん,大さじ1
172,5,「ほんだし」,小さじ1
173,5,「AJINOMOTO サラダ油」,小さじ1
174,6,鶏もも肉,2枚
175,6,「瀬戸のほんじお」,少々
176,6,こしょう,少々
177,6,玉ねぎ,1個
178,6,ピーマン,4個
179,6,にんにくのみじん切り,1かけ分
180,6,ホールトマト缶,1缶（400g）
181,6,「味の素KKコンソメ」固形タイプ,1個
182,6,赤ワイン,大さじ2
183,6,水,1/2カップ
184,6,砂糖,小さじ1
185,6,「瀬戸のほんじお」,適量
186,6,こしょう,適量
187,6,「AJINOMOTO オリーブオイル」,大さじ1・1/3
188,7,豚バラ薄切り肉,300g
189,7,白菜,1/2株（1000g）
190,7,「ほんだし」,大さじ2
191,7,水,6カップ
192,7,しょうゆ,大さじ2
193,7,「瀬戸のほんじお」,小さじ1/2
194,7,白髪ねぎ,1本分
195,7,小ねぎの小口切り,3本分
196,7,しょうがのせん切り,1/4かけ分
197,8,うどん,2玉
198,8,水,1カップ
199,8,しょうゆ,大さじ3
200,8,みりん,大さじ1・1/2
201,8,「ほんだし」,小さじ1/2
202,8,温泉卵,2個
203,8,大根,5cm（125g）
204,8,きゅうり,1/2本
205,8,干しわかめ,3g
206,8,いり白ごま,適量
207,8,ねぎの小口切り・好みで,適量
208,8,揚げ玉・好みで,大さじ2
209,9,合いびき肉,200g
210,9,玉ねぎのみじん切り,1個分（200g）
211,9,エリンギ・大,1本（100g）
212,9,トマト,2個（300g）
213,9,水,1・1/2カップ
214,9,「味の素KKコンソメ」顆粒タイプ,小さじ2
215,9,カレールウ,1/2箱
216,9,ご飯,440g
217,9,「AJINOMOTO サラダ油」,大さじ1
218,9,オクラ（ゆで）・好みで,6本
219,10,豚しゃぶしゃぶ用肉,240g
220,10,「お肉やわらかの素」,小さじ1（2.5g）
221,10,レタス,2枚
222,10,貝割れ菜,適量
223,10,ミニトマト,3個
224,10,ねぎのみじん切り,20g
225,10,しょうがのすりおろし,小さじ1/2
226,10,しょうゆ,大さじ3
227,10,酢,大さじ1
228,10,「AJINOMOTO ごま油好きの純正ごま油」,大さじ1
229,10,砂糖,大さじ1/2
230,10,「ほんだし」,小さじ1
